Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""5defe88a-5d68-4b7d-9f7e-30d4c84bd00c""","""Alex Ford Azure Account""","""be6226b6-194c-4a44-8203-e81926e6af9d""","""Visual Studio Professional with MSDN""",0,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",2.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/16/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",4.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/16/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",1.931200,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/17/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000516,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/17/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.576234,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/17/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/17/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/17/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000443,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/17/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/17/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.605100,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/18/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000492,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/18/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.575504,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/18/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",46.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/18/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/18/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000424,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/18/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/18/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",9.451200,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/19/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000379,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/19/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.574174,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/19/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""script-proxy""","""{}""","""{}""","""script-proxy.codetunnel.io""",
7/19/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/19/2015,"""Networking""","""32c3ebec-1646-49e3-8127-2cafbd3a04d8""",,"""Data Transfer In (GB)""","""Zone 1""","""GB""",0.000411,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""West US""","""Azure App Service""",,"""pawproject""","""{}""","""{}""","""dev.pawproject.org,pawproject.org,www.pawproject.""",
7/19/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",48.000000,"""West US""","""Azure App Service""",,"""codetunnel""","""{}""","""{}""","""codetunnel.com,www.codetunnel.com,www.codetunnel.""",
7/19/2015,"""Data Management""","""964c283a-83a3-4dd4-8baf-59511998fe8b""",,"""Storage Transactions (in 10,000s)""",,"""10,000s""",12.159700,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/20/2015,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000408,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/20/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/20/2015,"""Storage""","""0e9d0c9b-ab6d-4312-9c7e-3794e22af9c4""","""Geo Redundant""","""Standard IO - Page Blob/Disk (GB)""",,"""GB""",0.569676,"""West US""","""Storage""",,"""portalvhdsrb2m5thvgccml""","""{}""","""{}""",,
7/20/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""NikkisCorner""","""{}""","""{}""","""www.nikkiscorner.com,nikkiscorner.com""",
7/20/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
7/20/2015,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.032256,"""West US""","""Azure App Service""",,"""undoctrinate""","""{}""","""{}""","""www.undoctrinate.com,undoctrinate.com""",
7/20/2015,"""Virtual Machines""","""a3ab71e8-069e-4b75-afa6-f1455adad232""","""A1 VM (Windows)""","""Compute Hours""","""US West""","""Hours""",48.000000,"""West US""","""Compute""",,"""old-pawproject(old-pawproject)""","""{}""","""{}""",,
7/20/2015,"""Azure App Service""","""0c3885bd-351d-4c28-830a-446d7bb4295c""",,"""Shared App Service Hours""",,"""Hours""",24.000000,"""East US""","""Azure App Service""",,"""motherofpiglets""","""{}""","""{}""","""motherofpiglets.com,www.motherofpiglets.com""",
